Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-03-22,143.9,144.16,139.14,139.14,1953985.0,-4.300000000000011,0,1026403.0,1
2019-03-25,138.58,140.6,138.28,139.82,838716.0,-4.0800000000000125,0,-1115269.0,0
2019-03-26,140.0,140.08,138.22,138.62,771187.0,0.03999999999999204,1,-67529.0,0
2019-03-27,139.46,140.7,138.04,139.04,1006122.0,-0.960000000000008,0,234935.0,1
2019-03-28,139.0,140.14,137.94,138.48,642174.0,-0.9800000000000182,0,-363948.0,0
2019-03-29,139.6,141.1,139.6,140.32,883289.0,1.3199999999999932,1,241115.0,1
2019-04-01,142.32,145.22,142.32,144.46,1581086.0,4.860000000000014,1,697797.0,1
2019-04-02,143.38,146.62,143.38,146.1,1089506.0,3.780000000000001,1,-491580.0,0
2019-04-03,147.5,149.7,147.1,148.52,1353567.0,5.140000000000015,1,264061.0,1
2019-04-04,147.8,151.1,147.68,149.96,1091467.0,2.460000000000008,1,-262100.0,0
2019-04-05,149.8,150.6,148.06,148.76,963368.0,0.9599999999999795,1,-128099.0,0
2019-04-08,147.24,149.7,146.68,149.32,679562.0,-0.4800000000000182,0,-283806.0,0
2019-04-09,148.5,151.42,147.2,148.0,999668.0,0.7599999999999909,1,320106.0,1
2019-04-10,147.82,148.76,146.94,147.6,720467.0,-0.9000000000000057,0,-279201.0,0
2019-04-11,148.5,151.42,147.52,151.14,1074181.0,3.319999999999993,1,353714.0,1
2019-04-12,150.94,154.58,149.74,153.34,1728451.0,4.840000000000003,1,654270.0,1
2019-04-15,153.7,154.98,152.86,154.98,991355.0,4.039999999999992,1,-737096.0,0
2019-04-16,154.74,157.32,154.32,156.62,1076838.0,2.920000000000016,1,85483.0,1
2019-04-17,157.62,162.1,157.44,161.36,1871159.0,6.6200000000000045,1,794321.0,1
2019-04-18,159.62,163.82,159.22,163.14,1880629.0,5.519999999999982,1,9470.0,1
2019-04-23,163.1,163.98,159.86,160.0,1008197.0,0.37999999999999545,1,-872432.0,0
2019-04-24,158.0,159.3,155.8,157.5,1085507.0,-5.599999999999994,0,77310.0,1
2019-04-25,156.48,157.02,154.6,155.46,1003601.0,-2.539999999999992,0,-81906.0,0
2019-04-26,155.22,156.18,154.4,155.76,828364.0,-0.7199999999999989,0,-175237.0,0
2019-04-29,156.62,157.56,155.1,156.2,633522.0,0.9799999999999898,1,-194842.0,0
2019-04-30,155.0,155.9,153.8,155.04,869737.0,-1.5800000000000125,0,236215.0,1
2019-05-02,159.0,163.1,158.4,160.74,2009100.0,5.740000000000009,1,1139363.0,1
2019-05-03,161.0,162.5,159.86,160.28,868124.0,1.2800000000000011,1,-1140976.0,0
2019-05-06,155.38,157.94,152.82,157.62,1535879.0,-3.3799999999999955,0,667755.0,1
2019-05-07,157.0,157.74,153.04,154.42,1330855.0,-0.960000000000008,0,-205024.0,0
2019-05-08,154.0,154.96,151.9,154.58,1427376.0,-2.4199999999999875,0,96521.0,1
2019-05-09,152.02,152.98,150.18,151.5,1372447.0,-2.5,0,-54929.0,0
2019-05-10,153.0,153.72,148.86,150.32,1488830.0,-1.700000000000017,0,116383.0,1
2019-05-13,150.5,150.5,146.24,147.54,1643270.0,-5.460000000000008,0,154440.0,1
2019-05-14,151.12,151.86,148.3,149.02,1515374.0,-1.4799999999999898,0,-127896.0,0
2019-05-15,146.26,152.4,143.06,149.12,2196891.0,-2.0,0,681517.0,1
2019-05-16,148.68,149.36,146.52,148.1,1629093.0,1.8400000000000034,1,-567798.0,0
2019-05-17,147.52,147.92,145.32,147.14,1437996.0,-1.5400000000000205,0,-191097.0,0
2019-05-20,146.26,147.34,143.7,144.82,1075828.0,-2.700000000000017,0,-362168.0,0
2019-05-21,145.7,146.86,143.8,144.7,945804.0,-1.5600000000000023,0,-130024.0,0
2019-05-22,144.4,145.16,142.28,144.3,769222.0,-1.3999999999999773,0,-176582.0,0
2019-05-23,142.12,142.5,140.62,142.0,1283438.0,-2.4000000000000057,0,514216.0,1
2019-05-24,144.44,145.1,142.46,142.86,947293.0,0.7400000000000091,1,-336145.0,0
2019-05-27,145.8,146.38,143.1,144.06,646886.0,-0.37999999999999545,0,-300407.0,0
2019-05-28,144.42,146.66,143.9,144.84,962259.0,-0.960000000000008,0,315373.0,1
2019-05-29,144.4,144.4,142.44,143.28,761706.0,-1.1399999999999864,0,-200553.0,0
2019-05-30,143.7,144.56,142.32,143.22,382547.0,-1.1800000000000068,0,-379159.0,0
2019-05-31,139.0,139.58,137.14,139.5,1902678.0,-4.199999999999989,0,1520131.0,1
2019-06-03,138.42,140.2,138.08,140.06,801553.0,1.0600000000000023,1,-1101125.0,0
