Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header_x,release time_x,article content_x,formatted date_x,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,header_y,release time_y,article content_y,formatted date_y,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,header,release time,article content,formatteddate,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-09-03 13:31:00,146.24,146.24,146.24,146.24,145.0,-0.060000000000002274,0,-46.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:32:00,146.2,146.28,146.2,146.28,592.0,0.039999999999992035,1,447.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:33:00,146.26,146.26,146.26,146.26,64.0,0.060000000000002274,1,-528.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:34:00,146.36,146.36,146.36,146.36,302.0,0.10000000000002274,1,238.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:35:00,146.36,146.36,146.3,146.3,110.0,-0.060000000000002274,0,-192.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:36:00,146.32,146.42,146.3,146.4,467.0,0.039999999999992035,1,357.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:37:00,146.42,146.46,146.38,146.46,779.0,0.14000000000001478,1,312.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:38:00,146.5,146.5,146.5,146.5,3.0,0.0800000000000125,1,-776.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:39:00,146.5,146.5,146.4,146.4,1290.0,-0.09999999999999433,0,1287.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:40:00,146.4,146.4,146.38,146.38,288.0,-0.12000000000000455,0,-1002.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:41:00,146.38,146.42,146.38,146.4,739.0,0.0,0,451.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:42:00,146.38,146.42,146.38,146.42,499.0,0.039999999999992035,1,-240.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:43:00,146.42,146.46,146.4,146.42,4190.0,0.039999999999992035,1,3691.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:44:00,146.42,146.42,146.34,146.4,2569.0,-0.01999999999998181,0,-1621.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:45:00,146.38,146.38,146.32,146.32,577.0,-0.09999999999999433,0,-1992.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:46:00,146.32,146.36,146.26,146.34,1332.0,-0.039999999999992035,0,755.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:47:00,146.38,146.38,146.32,146.32,523.0,0.0,0,-809.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:48:00,146.32,146.32,146.24,146.28,712.0,-0.09999999999999433,0,189.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:49:00,146.3,146.3,146.26,146.26,98.0,-0.060000000000002274,0,-614.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:50:00,146.18,146.2,146.18,146.18,758.0,-0.12000000000000455,0,660.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:51:00,146.18,146.2,146.16,146.18,388.0,0.0,0,-370.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:52:00,146.2,146.24,146.2,146.2,424.0,0.01999999999998181,1,36.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:53:00,146.22,146.24,146.2,146.2,360.0,0.0,0,-64.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:54:00,146.22,146.22,146.22,146.22,187.0,0.0,0,-173.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:55:00,146.18,146.18,146.16,146.16,186.0,-0.060000000000002274,0,-1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:56:00,146.18,146.18,146.18,146.18,250.0,0.0,0,64.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:57:00,146.18,146.18,146.12,146.12,861.0,-0.060000000000002274,0,611.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:58:00,146.1,146.12,146.1,146.12,440.0,-0.060000000000002274,0,-421.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 13:59:00,146.2,146.24,146.2,146.24,269.0,0.14000000000001478,1,-171.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:00:00,146.22,146.26,146.2,146.26,1615.0,0.060000000000002274,1,1346.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:01:00,146.28,146.3,146.28,146.3,953.0,0.0800000000000125,1,-662.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:02:00,146.38,146.38,146.38,146.38,75.0,0.09999999999999433,1,-878.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:03:00,146.36,146.36,146.28,146.28,1024.0,-0.09999999999999433,0,949.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:04:00,146.3,146.36,146.3,146.36,760.0,0.0,0,-264.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:05:00,146.38,146.38,146.36,146.36,93.0,0.060000000000002274,1,-667.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:06:00,146.36,146.4,146.36,146.4,357.0,0.020000000000010232,1,264.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:07:00,146.38,146.42,146.38,146.38,673.0,0.01999999999998181,1,316.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:08:00,146.36,146.36,146.34,146.34,118.0,-0.039999999999992035,0,-555.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:09:00,146.3,146.3,146.26,146.26,456.0,-0.10000000000002274,0,338.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
