Date,OPEN,HIGH,LOW,CLOSE,VOLUME,url,header,release time,article content,formatteddate,flair_sentiment_header,flair_sentiment_content,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content
2019-08-01 12:35:00,59.86,59.86,59.86,59.86,14.0,,,,,,,,,,,,,,,
2019-08-01 12:36:00,59.86,59.86,59.86,59.86,36.0,,,,,,,,,,,,,,,
2019-08-01 12:37:00,59.86,59.86,59.86,59.86,10.0,,,,,,,,,,,,,,,
2019-08-01 12:38:00,59.84,59.84,59.84,59.84,35.0,,,,,,,,,,,,,,,
2019-08-01 12:39:00,59.84,59.84,59.84,59.84,456.0,,,,,,,,,,,,,,,
2019-08-01 12:40:00,59.82,59.82,59.8,59.8,357.0,,,,,,,,,,,,,,,
2019-08-01 12:42:00,59.8,59.8,59.76,59.78,325.0,,,,,,,,,,,,,,,
2019-08-01 12:43:00,59.76,59.76,59.72,59.72,2226.0,,,,,,,,,,,,,,,
2019-08-01 12:45:00,59.78,59.8,59.78,59.8,1050.0,,,,,,,,,,,,,,,
2019-08-01 12:46:00,59.8,59.8,59.8,59.8,135.0,,,,,,,,,,,,,,,
2019-08-01 12:47:00,59.8,59.8,59.78,59.78,58.0,,,,,,,,,,,,,,,
2019-08-01 12:48:00,59.76,59.76,59.76,59.76,144.0,,,,,,,,,,,,,,,
2019-08-01 12:49:00,59.74,59.74,59.74,59.74,72.0,,,,,,,,,,,,,,,
2019-08-01 12:50:00,59.72,59.72,59.72,59.72,142.0,,,,,,,,,,,,,,,
2019-08-01 12:52:00,59.72,59.72,59.7,59.7,935.0,,,,,,,,,,,,,,,
2019-08-01 12:55:00,59.74,59.74,59.68,59.7,462.0,,,,,,,,,,,,,,,
2019-08-01 12:56:00,59.72,59.72,59.72,59.72,13.0,,,,,,,,,,,,,,,
2019-08-01 12:59:00,59.7,59.72,59.7,59.72,158.0,,,,,,,,,,,,,,,
2019-08-01 13:00:00,59.68,59.7,59.68,59.68,678.0,,,,,,,,,,,,,,,
2019-08-01 13:03:00,59.72,59.72,59.72,59.72,709.0,,,,,,,,,,,,,,,
2019-08-01 13:07:00,59.74,59.74,59.7,59.7,525.0,,,,,,,,,,,,,,,
2019-08-01 13:08:00,59.68,59.68,59.68,59.68,73.0,,,,,,,,,,,,,,,
2019-08-01 13:09:00,59.68,59.68,59.68,59.68,8.0,,,,,,,,,,,,,,,
2019-08-01 13:10:00,59.68,59.68,59.68,59.68,14.0,,,,,,,,,,,,,,,
2019-08-01 13:12:00,59.68,59.68,59.66,59.66,482.0,,,,,,,,,,,,,,,
2019-08-01 13:13:00,59.66,59.66,59.66,59.66,289.0,,,,,,,,,,,,,,,
2019-08-01 13:14:00,59.68,59.68,59.68,59.68,28.0,,,,,,,,,,,,,,,
2019-08-01 13:15:00,59.66,59.66,59.66,59.66,51.0,,,,,,,,,,,,,,,
2019-08-01 13:18:00,59.96,59.96,59.68,59.72,3708.0,,,,,,,,,,,,,,,
2019-08-01 13:22:00,59.72,59.72,59.72,59.72,7.0,,,,,,,,,,,,,,,
2019-08-01 13:24:00,59.74,59.78,59.74,59.78,370.0,,,,,,,,,,,,,,,
2019-08-01 13:25:00,59.74,59.74,59.72,59.72,612.0,,,,,,,,,,,,,,,
2019-08-01 13:26:00,59.72,59.72,59.72,59.72,50.0,,,,,,,,,,,,,,,
2019-08-01 13:28:00,59.72,59.72,59.7,59.7,128.0,,,,,,,,,,,,,,,
2019-08-01 13:30:00,59.74,59.74,59.74,59.74,100.0,,,,,,,,,,,,,,,
2019-08-01 13:33:00,59.74,59.74,59.74,59.74,172.0,,,,,,,,,,,,,,,
2019-08-01 13:34:00,59.74,59.74,59.74,59.74,21.0,,,,,,,,,,,,,,,
2019-08-01 13:35:00,59.72,59.72,59.72,59.72,7.0,,,,,,,,,,,,,,,
2019-08-01 13:37:00,59.76,59.76,59.76,59.76,400.0,,,,,,,,,,,,,,,
